Q510383,"Q15974311, Q4421","Q3000, Q479387",58.49 (2017-12-31T00:00:00Z),,Point(10.3731 53.5422),"0 (1975-12-31T00:00:00Z), 0 (2017-12-31T00:00:00Z)",,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sachsenwald%20in%20RZ.svg,RZ,21521,,,,,4105163-4,2842497,324110,,,01053105,010539105105,Sachsenwald,Sachsenwald,Sachsenwald,gemeindefreies Gebiet in Schleswig-Holstein,"forest near Hamburg, Germany",,https://de.wikipedia.org/wiki/Sachsenwald,https://en.wikipedia.org/wiki/Sachsenwald,https://fr.wikipedia.org/wiki/Sachsenwald,Schleswig-Holstein,Kreis Herzogtum Lauenburg,None,
Q196794,Q15974311,Q10449,6.55 (2018-12-31T00:00:00Z),,Point(11.1692 49.4461),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Zerzabelshofer%20Forst%20in%20LAU.svg,,,,,,,,,65148,,,09574465,095749465465,Zerzabelshofer Forst,Zerzabelshofer Forst,Zerzabelshofer Forst,gemeindefreies Gebiet im Landkreis Nürnberger Land in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Zerzabelshofer_Forst,,,Bayern,Landkreis Nürnberger Land,None,
Q992716,Q15974311,Q10449,10.18 (2018-12-31T00:00:00Z),,Point(11.2378 49.4369),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindefreies%20Gebiet%20Brunn%20in%20LAU.svg,,,,,,,,,64631,,,09574452,095749452452,Brunn,Brunn,Brunn,gemeindefreies Gebiet im Landkreis Nürnberger Land in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Brunn_(gemeindefreies_Gebiet),,,Bayern,Landkreis Nürnberger Land,None,
Q1342218,Q15974311,Q10449,2.42 (2018-12-31T00:00:00Z),,Point(11.3739 49.4608),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Engelthaler%20Forst%20in%20LAU.svg,,,,,,,,,966169,,,09574453,095749453453,Engelthaler Forst,Engelthaler Forst,Engelthaler Forst,gemeindefreies Gebiet im Landkreis Nürnberger Land in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Engelthaler_Forst,,,Bayern,Landkreis Nürnberger Land,None,
Q1438322,Q15974311,Q10449,7.43 (2018-12-31T00:00:00Z),,Point(11.1556 49.4278),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindefreies%20Gebiet%20Forsthof%20in%20LAU.svg,,,,,,,,,65149,,,09574456,095749456456,Forsthof,Forsthof,Forsthof,gemeindefreies Gebiet im Landkreis Nürnberger Land in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Forsthof_(gemeindefreies_Gebiet),,,Bayern,Landkreis Nürnberger Land,None,
Q1527035,Q15974311,Q10449,18.44 (2018-12-31T00:00:00Z),,Point(11.2989 49.4042),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindefreies%20Gebiet%20Winkelhaid%20in%20LAU.svg,,,,,,,,,64630,,,09574464,095749464464,Winkelhaid,Winkelhaid,Winkelhaid,gemeindefreies Gebiet im Landkreis Nürnberger Land in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Winkelhaid_(gemeindefreies_Gebiet),,,Bayern,Landkreis Nürnberger Land,None,
Q2203229,Q15974311,Q10449,5.15 (2020-12-31T00:00:00Z),,Point(11.2358 49.5192),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%BCckersdorfer%20Forst%20in%20LAU.svg,,,,,,,,,1020215,,,09574462,095749462462,Rückersdorfer Forst,Rückersdorfer Forst,Rückersdorfer Forst,gemeindefreies Gebiet im Landkreis Nürnberger Land in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/R%C3%BCckersdorfer_Forst,,,Bayern,Landkreis Nürnberger Land,None,
Q15310068,Q15974311,Q10449,4.2 (2018-12-31T00:00:00Z),,Point(11.313688888 49.435330555),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindefreies%20Gebiet%20Leinburg%20in%20LAU.png,,,,,,,,,2618987,,,09574461,095749461461,gemeindefreies Gebiet Leinburg,Leinburg,Leinburg,gemeindefreies Gebiet im Landkreis Nürnberger Land in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Leinburg_(gemeindefreies_Gebiet),,,Bayern,Landkreis Nürnberger Land,None,
Q2497472,Q15974311,Q10454,1.82 (2018-12-31T00:00:00Z),,Point(10.6419 49.1392),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Unterer%20Wald%20in%20AN.svg,,,,,,,,,534393,,,09571451,095719451451,Unterer Wald,Unterer Wald,Unterer Wald,gemeindefreies Gebiet im Landkreis Ansbach in Bayern,unincorporated in Germany,,https://de.wikipedia.org/wiki/Unterer_Wald,,,Bayern,Landkreis Ansbach,None,
Q9286760,"Q15974311, Q4421",Q10491,5.42,,Point(11.42945 49.030572222),0 (2020-03-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Haunstetter%20Forst%20in%20EI.svg,,,,,,,,2909050,943537,,,09176451,091769451451,Haunstetter Forst,Haunstetter Forst,Haunstetter Forst,Gemeindefreies Gebiet im Landkreis Eichstätt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Haunstetter_Forst,,,Bayern,Landkreis Eichstätt,None,
Q11699714,Q15974311,Q10431,16.71,,Point(11.5667 50.3333),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Geroldsgr%C3%BCner%20Forst%20in%20HO.svg,,,,,,,,,1021690,,,09475453,094759453453,Geroldsgrüner Forst,Geroldsgrüner Forst,Geroldsgrüner Forst,Gemeindefreies Gebiet im Landkreis Hof in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Geroldsgr%C3%BCner_Forst,,,Bayern,Landkreis Hof,None,
Q21854122,Q15974311,Q10431,8.28,,Point(11.5833 50.3),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Forst%20Schwarzenbach%20a.Wald%20in%20HO.svg,,,,,,,,,1021709,,,09475451,094759451451,Forst Schwarzenbach am Wald,Forst Schwarzenbach am Wald,Forst Schwarzenbach am Wald,Gemeindefreies Gebiet im Landkreis Hof in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Forst_Schwarzenbach_am_Wald,,,Bayern,Landkreis Hof,None,
Q9362493,Q15974311,Q10432,9.71,,Point(11.9667 49.9833),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tr%C3%B6stauer%20Forst-Ost%20in%20WUN.svg,,,,,,,,,1022886,,,09479459,094799459459,Tröstauer Forst-Ost,Tröstauer Forst-Ost,Tröstauer Forst-Ost,Gemeindefreies Gebiet im Landkreis Wunsiedel in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Tr%C3%B6stauer_Forst-Ost,,,Bayern,Landkreis Wunsiedel i. Fichtelgebirge,None,
Q9369150,Q15974311,Q10432,9.71,,Point(11.877847222 50.042738888),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Vordorfer%20Forst%20in%20WUN.svg,,,,,,,,,1022888,,,09479461,094799461461,Vordorfer Forst,Vordorfer Forst,Vordorfer Forst,Gemeindefreies Gebiet im Landkreis Wunsiedel in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Vordorfer_Forst,,,Bayern,Landkreis Wunsiedel i. Fichtelgebirge,None,
Q9371881,Q15974311,Q10432,5.45,,Point(11.85 50.1167),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wei%C3%9Fenstadter%20Forst-Nord%20in%20WUN.svg,,,,,,,,,1022885,,,09479462,094799462462,Weißenstadter Forst-Nord,Weißenstadter Forst-Nord,Weißenstadter Forst-Nord,Gemeindefreies Gebiet im Landkreis Wunsiedel in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Wei%C3%9Fenstadter_Forst-Nord,,,Bayern,Landkreis Wunsiedel i. Fichtelgebirge,None,
Q11770743,Q15974311,Q10432,8.46,,Point(12.0167 50.1667),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Martinlamitzer%20Forst-S%C3%BCd%20in%20WUN.svg,,,,,,,,,1022889,,,09479455,094799455455,Martinlamitzer Forst-Süd,Martinlamitzer Forst-Süd,Martinlamitzer Forst-Süd,Gemeindefreies Gebiet im Landkreis Wunsiedel in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Martinlamitzer_Forst-S%C3%BCd,,,Bayern,Landkreis Wunsiedel i. Fichtelgebirge,None,
Q11790755,Q15974311,Q10432,3.13,,Point(11.868277777 50.025013888),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Neubauer%20Forst-S%C3%BCd%20in%20WUN.svg,,,,,,,,,1022883,,,09479457,094799457457,Neubauer Forst-Süd,Neubauer Forst-Süd,Neubauer Forst-Süd,Gemeindefreies Gebiet im Landkreis Wunsiedel in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Neubauer_Forst-S%C3%BCd,,,Bayern,Landkreis Wunsiedel i. Fichtelgebirge,None,
Q2512290,"Q15974311, Q4421",Q10439,55.59 (2018-12-31T00:00:00Z),,Point(11.5192 49.6844),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Veldensteiner%20Forst%20in%20BT.svg,,,,,,,,2817715,1071001,,,09472468,094729468468,Veldensteiner Forst,Veldensteiner Forst,Veldensteiner Forst,gemeindefreies Gebiet im Landkreis Bayreuth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Veldensteiner_Forst,https://en.wikipedia.org/wiki/Veldenstein_Forest,,Bayern,Landkreis Bayreuth,None,
Q9259406,Q15974311,Q10439,20.89 (2018-12-21T00:00:00Z),,Point(11.8167 49.9833),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindefreies%20Gebiet%20Fichtelberg%20in%20BT.svg,,,,,,,,,1070981,,,09472453,094729453453,Gemeindefreies Gebiet Fichtelberg,Fichtelberg,Fichtelberg,gemeindefreies Gebiet im Landkreis Bayreuth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Gemeindefreies_Gebiet_Fichtelberg,,,Bayern,Landkreis Bayreuth,None,
Q9268519,Q15974311,Q10439,4.77 (2018-12-31T00:00:00Z),,Point(11.461052777 49.8743),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Glash%C3%BCttener%20Forst%20in%20BT.svg,,,,,,,,,1070978,,,09472456,094729456456,Glashüttener Forst,Glashüttener Forst,Glashüttener Forst,gemeindefreies Gebiet im Landkreis Bayreuth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Glash%C3%BCttener_Forst,,,Bayern,Landkreis Bayreuth,None,
Q9371035,"Q15974311, Q486972",Q10439,0.32 (2018-12-31T00:00:00Z),,Point(11.807136111 50.029008333),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Warmensteinacher%20Forst-Nord%20in%20BT.svg,,,,,,,,,1071002,,,09472470,094729470470,Warmensteinacher Forst-Nord,Warmensteinacher Forst-Nord,Warmensteinacher Forst-Nord,gemeindefreies Gebiet im Landkreis Bayreuth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Warmensteinacher_Forst-Nord,,,Bayern,Landkreis Bayreuth,None,
Q11756934,"Q15974311, Q486972",Q10439,,,Point(11.5333 49.85),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lindenhardter%20Forst-S%C3%BCdost%20in%20BT.svg,,,,,,,,,1070995,,,,094729461461,Lindenhardter Forst-Südost,Lindenhardter Forst-Südost,Lindenhardter Forst-Südost,ehemaliges gemeindefreies Gebiet im Landkreis Bayreuth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Lindenhardter_Forst-S%C3%BCdost,,,Bayern,Landkreis Bayreuth,None,
Q21197852,Q15974311,Q10439,27 (2018-12-31T00:00:00Z),,Point(11.79662 50.03768),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bischofsgr%C3%BCner%20Forst%20in%20BT.svg,,,,,,,,,1070977,,,09472451,094729451451,Bischofsgrüner Forst,Bischofsgrüner Forst,Bischofsgrüner Forst,gemeindefreies Gebiet im Landkreis Bayreuth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Bischofsgr%C3%BCner_Forst,,,Bayern,Landkreis Bayreuth,None,
Q21289999,Q15974311,Q10439,5.66 (2018-12-31T00:00:00Z),,Point(11.85 50.0333),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Neubauer%20Forst-Nord%20in%20BT.svg,,,,,,,,,1070992,,,09472463,094729463463,Neubauer Forst-Nord,Neubauer Forst-Nord,Neubauer Forst-Nord,gemeindefreies Gebiet im Landkreis Bayreuth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Neubauer_Forst-Nord,,,Bayern,Landkreis Bayreuth,None,
Q11790764,Q15974311,Q10442,5.09,,Point(11.101838888 50.195127777),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Neuensorger%20Forst%20in%20LIF.svg,,,,,,,,,3092853,,,09478453,094789453453,Neuensorger Forst,Neuensorger Forst,Neuensorger Forst,gemeindefreies Gebiet im Landkreis Lichtenfels in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Neuensorger_Forst,,,Bayern,Landkreis Lichtenfels,None,
Q9266719,Q15974311,Q10440,2.8,,Point(10.7833 50.3667),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gellnhausen%20in%20CO.svg,,,,,,,,,956868,,,09473453,094739453453,Gellnhausen,Gellnhausen,Gellnhausen,gemeindefreies Gebiet im Landkreis Coburg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Gellnhausen,,,Bayern,Landkreis Coburg,None,
Q1589611,Q15974311,Q10444,20.84,,Point(10.95 49.8833),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hauptsmoorwald%20in%20BA.svg,,,,,,,,,1077541,,,09471455,094719455455,Hauptsmoor,Hauptsmoor,Hauptsmoor,Gemeindefreies Gebiet im Landkreis Bamberg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Hauptsmoor,,,Bayern,Landkreis Bamberg,None,
Q9251692,Q15974311,Q10444,4.33,,Point(11.0333 49.85),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindefreies%20Gebiet%20Eichwald%20in%20BA.svg,,,,,,,,,1077556,,,09471453,094719453453,Eichwald,Eichwald,Eichwald,Gemeindefreies Gebiet im Landkreis Bamberg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Eichwald_(gemeindefreies_Gebiet),,,Bayern,Landkreis Bamberg,None,
Q9375210,"Q15974311, Q4421",Q10444,8.51,,"Point(10.51667 49.81667), Point(10.5167 49.8167)",0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Winkelhofer%20Forst%20in%20BA.svg,,,,,,,,2807980,1077559,,,09471461,094719461461,Winkelhofer Forst,Winkelhofer Forst,,Gemeindefreies Gebiet im Landkreis Bamberg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Winkelhofer_Forst,,,Bayern,Landkreis Bamberg,None,
Q11699545,Q15974311,Q10444,10.31,,Point(11.060625 49.891397222),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Geisberger%20Forst%20in%20BA.svg,,,,,,,,,1077537,,,09471454,094719454454,Geisberger Forst,Geisberger Forst,Geisberger Forst,Gemeindefreies Gebiet im Landkreis Bamberg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Geisberger_Forst,,,Bayern,Landkreis Bamberg,None,
Q11756926,Q15974311,Q10444,6.24,,Point(10.6333 49.85),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lindach%20%28gemeindefreies%20Gebiet%29%20in%20BA.svg,,,,,,,,,1077534,,,09471457,094719457457,Lindach,Lindach,Lindach,Gemeindefreies Gebiet im Landkreis Bamberg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Lindach_(gemeindefreies_Gebiet),,,Bayern,Landkreis Bamberg,None,
Q11754116,Q15974311,Q10419,,,Point(11.85 49.95),,,,,,,,,,,,,,,,975284,,,,093779455455,Lenauer Forst,Lenauer Forst,Lenauer Forst,ehemaliges gemeindefreies Gebiet im Landkreis Tirschenreuth in Bayern,former unincorporated area in Germany,,https://de.wikipedia.org/wiki/Lenauer_Forst,,,Bayern,Landkreis Tirschenreuth,None,
Q11696401,Q15974311,Q10423,,,Point(12.3333 49.2),,,,,,,,,,,,,,,,,,,,093769453453,Einsiedler und Walderbacher Forst,Einsiedler und Walderbacher Forst,,Ehemaliges Gemeindefreies Gebiet im Oberpfälzer Landkreis Schwandorf,former unincorporated area in Germany,,,,,Bayern,Landkreis Schwandorf,None,
Q11767154,Q15974311,Q10420,30.78,,Point(12.0167 49.6667),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Manteler%20Forst%20in%20NEW.svg,,,,,,,,,1059466,,,09374452,093749452452,Manteler Forst,Manteler Forst,Manteler Forst,Gemeindefreies Gebiet im Landkreis Neustadt an der Waldnaab in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Manteler_Forst,,,Bayern,Landkreis Neustadt an der Waldnaab,None,
Q16267901,Q15974311,Q10420,5.88,,Point(11.647794444 49.787855555),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Heinersreuther%20Forst%20in%20NEW.svg,,,,,,,,,1059459,,,09374451,093749451451,Heinersreuther Forst,Heinersreuther Forst,Heinersreuther Forst,ehemaliges gemeindefreies Gebiet im Landkreis Neustadt an der Waldnaab in der Oberpfalz in Bayern,"former unincorporated area in Upper Palatinate, Bavaria, Germany",,https://de.wikipedia.org/wiki/Heinersreuther_Forst_(Oberpfalz),,,Bayern,Landkreis Neustadt an der Waldnaab,None,
Q11709845,Q15974311,Q10421,2.9995,,Point(11.8667 49.3667),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hirschwald%20in%20Amberg-Sulzbach%2C%20Bavaria%2C%20Germany.svg,,,,,2015-08-31T00:00:00Z,,,,1028545,,,,093719455455,Hirschwald,Hirschwald,Hirschwald,ehemaliges gemeindefreies Gebiet im Landkreis Amberg-Sulzbach in Bayern,former unincorporated area in Germany,,,,,Bayern,Landkreis Amberg-Sulzbach,None,
Q16215171,Q15974311,Q10429,24.27,,Point(12.3 49.05),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Forstm%C3%BChler%20Forst%20in%20R.svg,,,,,,,,,2625955,,,09375451,093759451451,Forstmühler Forst,Forstmühler Forst,Forstmühler Forst,gemeindefreies Gebiet im Landkreis Regensburg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Forstm%C3%BChler_Forst,,,Bayern,Landkreis Regensburg,None,
Q9263574,"Q15974311, Q4421",Q10474,19.85,,Point(11.8833 48.95),0 (2019-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Frauenforst%20in%20KEH.svg,,,,,,,,2925382,956647,,,09273452,092739452452,Frauenforst,Frauenforst,Frauenforst,Gemeindefreies Gebiet im Landkreis Kelheim in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Frauenforst,,,Bayern,Landkreis Kelheim,None,
Q9291995,"Q15974311, Q4421",Q10474,23.55,,Point(11.7333 48.9),0 (2019-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hienheimer%20Forst%20in%20KEH.svg,,,,,,,,2904849,956649,,,09273454,092739454454,Hienheimer Forst,Hienheimer Forst,Hienheimer Forst,ehemaliges gemeindefreies Gebiet im Landkreis Kelheim in Bayern,former unincorporated area in Germany,,https://de.wikipedia.org/wiki/Hienheimer_Forst,,,Bayern,Landkreis Kelheim,None,
Q9155904,Q15974311,Q10487,10.41,,Point(13.621461111 48.900638888),0 (2019-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Annathaler%20Wald%20in%20FRG.svg,,,,,,,,,958962,,,09272451,092729451451,Annathaler Wald,Annathaler Wald,Annathaler Wald,gemeindefreies Gebiet im Landkreis Freyung-Grafenau in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Annathaler_Wald,,,Bayern,Landkreis Freyung-Grafenau,None,
Q9333594,Q15974311,Q10487,12.15,,Point(13.4333 48.9333),0 (2019-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sankt%20Oswald%20in%20FRG.svg,,,,,,,,,958956,,,09272459,092729459459,Sankt Oswald,Sankt Oswald,Sankt Oswald,gemeindefreies Gebiet im Landkreis Freyung-Grafenau in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Sankt_Oswald_(gemeindefreies_Gebiet),,,Bayern,Landkreis Freyung-Grafenau,None,
Q9334525,Q15974311,Q10487,21.3,,Point(13.5167 48.9),0 (2019-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sch%C3%B6nbrunner%20Wald%20in%20FRG.svg,,,,,,,,,958976,,,09272461,092729461461,Schönbrunner Wald,Schönbrunner Wald,Schönbrunner Wald,gemeindefreies Gebiet im Landkreis Freyung-Grafenau in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Sch%C3%B6nbrunner_Wald,,,Bayern,Landkreis Freyung-Grafenau,None,
Q11698846,Q15974311,Q10487,21.05,,Point(13.7833 48.7833),0 (2019-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Frauenberger%20u.%20Duschlberger%20Wald%20in%20FRG.svg,,,,,,,,,958957,,,09272452,092729452452,Frauenberger und Duschlberger Wald,Frauenberger und Duschlberger Wald,Frauenberger und Duschlberger Wald,gemeindefreies Gebiet im Landkreis Freyung-Grafenau in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Frauenberger_und_Duschlberger_Wald,,,Bayern,Landkreis Freyung-Grafenau,None,
Q11754690,Q15974311,Q10487,14.49,,Point(13.7 48.8333),0 (2019-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Leopoldsreuter%20Wald%20in%20FRG.svg,,,,,,,,,958946,,,09272455,092729455455,Leopoldsreuter Wald,Leopoldsreuter Wald,Leopoldsreuter Wald,gemeindefreies Gebiet im Landkreis Freyung-Grafenau in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Leopoldsreuter_Wald,,,Bayern,Landkreis Freyung-Grafenau,None,
Q11816192,Q15974311,Q10487,3.01,,Point(13.7 48.8667),0 (2019-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Philippsreuter%20Wald%20in%20FRG.svg,,,,,,,,,958968,,,09272457,092729457457,Philippsreuter Wald,Philippsreuter Wald,Philippsreuter Wald,gemeindefreies Gebiet im Landkreis Freyung-Grafenau in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Philippsreuter_Wald,,,Bayern,Landkreis Freyung-Grafenau,None,
Q1738565,Q15974311,Q10402,12.04,,Point(10.4403 47.7203),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kempter%20Wald%20in%20OA.svg,,,,,,,,,958162,,,09780451,097809451451,Kempter Wald,Kempter Wald,Kempter Wald,gemeindefreies Gebiet im Landkreis Oberallgäu in Bayern,"unincorporated area in the district of Oberallgäu, Bavaria, Germany",,https://de.wikipedia.org/wiki/Kempter_Wald_(gemeindefreies_Gebiet),,,Bayern,Landkreis Oberallgäu,None,
Q15303471,Q15974311,Q10410,17.6,,Point(10.2667 48.25),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Unterroggenburger%20Wald%20in%20NU.svg,,,,,,,,,941092,,,09775455,097759455455,Unterroggenburger Wald,Unterroggenburger Wald,Unterroggenburger Wald,gemeindefreies Gebiet im Landkreis Neu-Ulm in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Unterroggenburger_Wald,,,Bayern,Landkreis Neu-Ulm,None,
Q15303474,Q15974311,Q10410,6.25,,Point(10.25 48.2167),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Oberroggenburger%20Wald%20in%20NU.svg,,,,,,,,,941093,,,09775452,097759452452,Oberroggenburger Wald,Oberroggenburger Wald,Oberroggenburger Wald,gemeindefreies Gebiet im Landkreis Neu-Ulm in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Oberroggenburger_Wald,,,Bayern,Landkreis Neu-Ulm,None,
Q16031378,Q15974311,Q10414,3.2796 (2021-01-01T00:00:00Z),,Point(10.5167 48.3167),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Schmellerforst%20in%20A.svg,,,,,,,,,956028,,,09772451,097729451451,Schmellerforst,Schmellerforst,Schmellerforst,gemeindefreies Gebiet im Landkreis Augsburg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Schmellerforst,,,Bayern,Landkreis Augsburg,None,
Q1500409,Q15974311,Q10412,1.16,,Point(10.4333 48.2167),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Winzerwald%20in%20GZ.svg,,,,,,,,,962700,,,09774452,097749452452,Winzerwald,Winzerwald,Winzerwald,gemeindefreies Gebiet im Landkreis Günzburg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Gemeindefreies_Gebiet_Winzerwald,,,Bayern,Landkreis Günzburg,None,
Q15303477,Q15974311,Q10418,17.76,,Point(10.5667 49.0167),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dornstadt-Linkersbaindt%20in%20DON.svg,,,,,,,,,3094854,,,09779452,097799452452,Dornstadt-Linkersbaindt,Dornstadt-Linkersbaindt,Dornstadt-Linkersbaindt,gemeindefreies Gebiet im Landkreis Donau-Ries in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Dornstadt-Linkersbaindt,,,Bayern,Landkreis Donau-Ries,None,
Q17283181,Q15974311,Q10504,56.88,,Point(11.307222222 47.903888888),0 (2020-03-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Starnberger%20See.svg,,,,,,,,,934874,,,09188451,091889451451,Starnberger See,Starnberger See,Starnberger See,gemeindefreies Gebiet im Landkreis Starnberg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Starnberger_See_(gemeindefreies_Gebiet),,,Bayern,Landkreis Starnberg,None,
